studyArea,simObject,runID,gcm,ssp,gid
NT1_BCR6,simOutPreamble,,CNRM-ESM2-1,370,""
NT1_BCR6,simOutPreamble,,CNRM-ESM2-1,585,""
NT1_BCR6,simOutPreamble,,CanESM5,370,13WknCW6IiL5uqJOijl_yJENa1QQdD8Xl
NT1_BCR6,simOutPreamble,,CanESM5,370,14N6iu2FjrznbWcSr2QAfFxeu5YCi-lW2
NT1_BCR6,simOutPreamble,,CanESM5,585,""
NT1_BCR6,biomassMaps2001,,"",,1Sr5v-67U8xE9VvPJtesz0M2uPwTfe6Ns
NT1_BCR6,biomassMaps2011,,"",,16uXG8jtxWOZMAxazvzN8s4o_5X0lQZPw
NT1_BCR6,fSsimDataPrep,,"",,""
NT1_BCR6,fSsimDataPrep,,"",,1XlDdMGS0AEoMval7L8l42KUu0yDcT5i0
NT1_BCR6,ignitionOut,,"",,""
NT1_BCR6,ignitionOut,,"",,18-z5Ssmc3qJCWeW-XObiaMYHjka0JFE2
NT1_BCR6,escapeOut,,"",,""
NT1_BCR6,escapeOut,,"",,1zTf3wesj-3wXr3RbdU0K9_U5XzDVfOYK
NT1_BCR6,spreadOut,1,"",,""
NT1_BCR6,spreadOut,1,"",,1lz3t1vpRjFIvWz1dDJYC_OK5bU8EN9z8
NT1_BCR6,spreadOut,2,"",,""
NT1_BCR6,spreadOut,2,"",,1IuHAp_O53TU8-A-l3KSmXf_EJXGAiQ1B
NT1_BCR6,spreadOut,3,"",,""
NT1_BCR6,spreadOut,3,"",,19x_gUuL21Ly3RxXuUSTZX1RdWftoSKHV
NT1_BCR6,spreadOut,4,"",,""
NT1_BCR6,spreadOut,4,"",,1y2DHMUO57iBgckGxAVFuGGxoGSy0tnfI
NT1_BCR6,spreadOut,5,,,1LEEG_AZxv0a_hfBtB1G-j0-3mvJCieRd
NT1_BCR6,spreadOut,5,"",,""
NT1_BCR6,results,,"",,1t6032ggUC__jzaJs5H39LW6iFfrqlK_T
